year,area_fips,area_title,industry_group,annual_avg_emplvl,total_annual_wages_2015,avg_annual_pay_2015
1995,01001,"Autauga County, Alabama",total,9070,300963835.32940024,33182.34127115769
1995,01003,"Baldwin County, Alabama",crops,807,18697942.69702001,23169.693552688983
1995,01003,"Baldwin County, Alabama",total,38419,1088233447.3071141,28325.39751964169
1995,01005,"Barbour County, Alabama",crops,25,513887.0083933247,20555.480335732987
1995,01005,"Barbour County, Alabama",total,10122,313973235.2296516,31018.893028023274
1995,01007,"Bibb County, Alabama",total,4351,126888743.64594474,29163.12195953683
1995,01009,"Blount County, Alabama",total,8776,247604514.70964608,28213.823462812907
1995,01011,"Bullock County, Alabama",total,3216,91361345.14348713,28408.37846501465
1995,01013,"Butler County, Alabama",total,7313,206146969.74728152,28189.111137328255
1995,01015,"Calhoun County, Alabama",crops,139,2718543.95831556,19557.870203709066
1995,01015,"Calhoun County, Alabama",total,46405,1589435189.456829,34251.37785705913
1995,01017,"Chambers County, Alabama",total,12969,424874324.649075,32760.76217511566
1995,01019,"Cherokee County, Alabama",crops,293,6605418.301254077,22544.089765372275
1995,01019,"Cherokee County, Alabama",total,4649,130985739.43943878,28175.035370926817
1995,01021,"Chilton County, Alabama",crops,80,1596794.5571356383,19959.93196419548
1995,01021,"Chilton County, Alabama",total,7700,219664554.95691776,28527.86428011919
1995,01023,"Choctaw County, Alabama",total,5831,260782110.064771,44723.39394010822
1995,01025,"Clarke County, Alabama",total,9786,304459911.5518135,31111.783318190628
1995,01027,"Clay County, Alabama",total,5594,151234979.7483971,27035.212682945497
1995,01029,"Cleburne County, Alabama",total,3013,86879145.61335582,28834.764558033792
1995,01031,"Coffee County, Alabama",total,14855,421872698.9559203,28399.373877880866
1995,01033,"Colbert County, Alabama",total,23777,939504874.4085625,39513.17972866899
1995,01035,"Conecuh County, Alabama",total,4665,152554243.4064167,32701.874256466606
1995,01037,"Coosa County, Alabama",total,2200,73511691.14665021,33414.40506665919
1995,01039,"Covington County, Alabama",total,14194,406953652.9271638,28670.822384610667
1995,01041,"Crenshaw County, Alabama",total,3814,100824432.90262036,26435.352098222433
1995,01043,"Cullman County, Alabama",crops,60,852920.3585701816,14215.339309503028
1995,01043,"Cullman County, Alabama",total,24074,773584672.7259603,32133.61604743542
1995,01045,"Dale County, Alabama",total,16839,615641082.6338896,36560.43011068885
1995,01047,"Dallas County, Alabama",total,18520,563949229.02161,30450.822301382832
1995,01049,"DeKalb County, Alabama",total,22555,664160617.29983,29446.26988693549
1995,01051,"Elmore County, Alabama",crops,25,690801.4279808115,27632.057119232457
1995,01051,"Elmore County, Alabama",total,11385,355679040.5032057,31241.022442090973
1995,01053,"Escambia County, Alabama",total,13550,443982803.6723256,32766.258573603365
1995,01055,"Etowah County, Alabama",total,36900,1352011411.3779094,36639.87564709782
1995,01057,"Fayette County, Alabama",total,6373,201037883.49750298,31545.250823396043
1995,01059,"Franklin County, Alabama",total,10652,320165087.49663675,30056.805059766873
1995,01061,"Geneva County, Alabama",total,7018,178611897.50168982,25450.541108818725
1995,01063,"Greene County, Alabama",total,2397,67990696.8034492,28364.91314286575
1995,01065,"Hale County, Alabama",total,3647,91923153.79668336,25205.142252997903
1995,01067,"Henry County, Alabama",crops,89,1879960.277721268,21123.149187879415
1995,01067,"Henry County, Alabama",total,4383,129835368.0069299,29622.48870794659
