year,area_fips,area_title,industry_group,annual_avg_emplvl,total_annual_wages_2015,avg_annual_pay_2015
1990,01000,Alabama -- Statewide,crops,4206,98798062.19290055,23489.791296457573
1990,01000,Alabama -- Statewide,total,1600920,59437133357.44463,37126.860403670784
1990,02000,Alaska -- Statewide,crops,124,3102915.4892926575,25023.512010424656
1990,02000,Alaska -- Statewide,total,233887,12669021366.912092,54167.274653623725
1990,04000,Arizona -- Statewide,crops,20405,444822294.0118478,21799.671355640665
1990,04000,Arizona -- Statewide,total,1498750,58283808447.89451,38888.27919792794
1990,05000,Arkansas -- Statewide,crops,4873,128798625.69456139,26431.074429419536
1990,05000,Arkansas -- Statewide,total,898947,29715667123.6281,33056.0835328758
1990,06000,California -- Statewide,crops,334873,7575490147.667959,22621.97951960283
1990,06000,California -- Statewide,total,13262696,629374463097.851,47454.489124824315
1990,08000,Colorado -- Statewide,crops,6213,153784184.4510095,24752.001360213988
1990,08000,Colorado -- Statewide,total,1502679,63095901969.423996,41988.9423951649
1990,09000,Connecticut -- Statewide,crops,3458,98586150.18598174,28509.586519948447
1990,09000,Connecticut -- Statewide,total,1618333,85240407604.60133,52671.73542441595
1990,10000,Delaware -- Statewide,crops,759,19000959.581502855,25034.202347171085
1990,10000,Delaware -- Statewide,total,342013,15139664387.890524,44266.34188726897
1990,11000,District of Columbia,total,669156,40944981645.86172,61188.99276979018
1990,12000,Florida -- Statewide,crops,96830,2109719876.9765344,21787.874387860524
1990,12000,Florida -- Statewide,total,5393564,206267596359.04425,38243.28335754322
1990,13000,Georgia -- Statewide,crops,9457,197177914.37952518,20849.94336253835
1990,13000,Georgia -- Statewide,total,2938272,118231843787.1466,40238.56327363382
1990,15000,Hawaii -- Statewide,crops,8427,280136104.1191508,33242.68471806702
1990,15000,Hawaii -- Statewide,total,532461,22369565519.01912,42011.65065426222
1990,16000,Idaho -- Statewide,crops,11074,246984027.23139805,22303.05465336807
1990,16000,Idaho -- Statewide,total,402392,13305226306.94638,33065.33506368512
1990,17000,Illinois -- Statewide,crops,12712,358939527.392123,28236.274967914018
1990,17000,Illinois -- Statewide,total,5191684,238187589611.9947,45878.67628538152
1990,18000,Indiana -- Statewide,crops,6409,159936061.09844023,24954.9166950289
1990,18000,Indiana -- Statewide,total,2448589,96361520402.44762,39353.897449693526
1990,19000,Iowa -- Statewide,crops,4199,98243548.79915506,23396.8918311872
1990,19000,Iowa -- Statewide,total,1183578,41352217313.97236,34938.3118932359
1990,20000,Kansas -- Statewide,crops,2159,67540884.2703853,31283.410963587445
1990,20000,Kansas -- Statewide,total,1063454,39084384377.47402,36752.303698584066
1990,21000,Kentucky -- Statewide,crops,1250,24466539.67610097,19573.231740880776
1990,21000,Kentucky -- Statewide,total,1411567,51083894319.58243,36189.4931799783
1990,22000,Louisiana -- Statewide,crops,6404,145948308.6913928,22790.1793709233
1990,22000,Louisiana -- Statewide,total,1546402,57922127157.112465,37456.06068610391
1990,23000,Maine -- Statewide,crops,2076,51525176.384147935,24819.44912531211
1990,23000,Maine -- Statewide,total,528787,19335072071.935894,36564.95351046053
1990,24000,Maryland -- Statewide,crops,2473,67132199.03105819,27146.057028329233
1990,24000,Maryland -- Statewide,total,2136674,96310245579.9645,45074.843228290556
1990,25000,Massachusetts -- Statewide,crops,2864,92755958.89268167,32386.85715526595
1990,25000,Massachusetts -- Statewide,total,2920678,141558310450.29007,48467.619658959346
1990,26000,Michigan -- Statewide,crops,13859,301000199.5361938,21718.753123327355
1990,26000,Michigan -- Statewide,total,3872732,180158565679.79767,46519.76064437138
1990,27000,Minnesota -- Statewide,crops,5179,134936207.02903765,26054.49064086458
1990,27000,Minnesota -- Statewide,total,2062366,86526950310.65071,41955.18657243705
1990,28000,Mississippi -- Statewide,crops,6775,136825272.50531924,20195.6121779069
1990,28000,Mississippi -- Statewide,total,915144,29412204945.062687,32139.4282703735
1990,29000,Missouri -- Statewide,crops,4708,118729325.40678719,25218.63326397349
1990,29000,Missouri -- Statewide,total,2280202,89701787784.97299,39339.40404620862
1990,30000,Montana -- Statewide,crops,652,16852117.01541429,25846.805238365476
1990,30000,Montana -- Statewide,total,286472,9306689742.197187,32487.257889766493
1990,31000,Nebraska -- Statewide,crops,2368,60589866.79728758,25586.9369920978
1990,31000,Nebraska -- Statewide,total,710711,23957348000.336758,33708.98719780158
1990,32000,Nevada -- Statewide,crops,574,16648775.666243171,29004.83565547591
1990,32000,Nevada -- Statewide,total,617030,25023199178.87156,40554.266695090286
1990,33000,New Hampshire -- Statewide,crops,554,13257817.148586387,23931.077885534993
1990,33000,New Hampshire -- Statewide,total,497266,20387683095.225704,40999.55173936224
1990,34000,New Jersey -- Statewide,crops,7188,213924694.83690247,29761.365447537904
1990,34000,New Jersey -- Statewide,total,3561464,183718738834.49158,51585.17363491294
1990,35000,New Mexico -- Statewide,crops,7059,93259436.51364632,13211.423220519382
1990,35000,New Mexico -- Statewide,total,560652,19672698535.673286,35088.96523275274
1990,36000,New York -- Statewide,crops,10460,279665040.8164828,26736.619580925697
1990,36000,New York -- Statewide,total,8088866,423768809978.968,52389.1494776855
1990,37000,North Carolina -- Statewide,crops,10540,209617073.18342546,19887.76785421494
1990,37000,North Carolina -- Statewide,total,3079107,113060551022.80765,36718.61712594192
1990,38000,North Dakota -- Statewide,crops,1481,38484312.0589631,25985.35588046124
1990,38000,North Dakota -- Statewide,total,245693,7855262393.355172,31971.860791130282
1990,39000,Ohio -- Statewide,crops,9106,218748698.16620493,24022.479482341856
1990,39000,Ohio -- Statewide,total,4769108,195078296685.13986,40904.56678379686
1990,40000,Oklahoma -- Statewide,crops,2739,71148498.1325292,25976.085481025628
1990,40000,Oklahoma -- Statewide,total,1169660,43051403212.677376,36806.7671055498
1990,41000,Oregon -- Statewide,crops,23481,500072748.05216676,21296.910184922566
1990,41000,Oregon -- Statewide,total,1235891,47823283648.83131,38695.38951965125
1990,42000,Pennsylvania -- Statewide,crops,13287,355913281.65133405,26786.579487569357
